@relation 'mxmh_survey_results-weka.filters.unsupervised.attribute.Remove-R1,33-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C33-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C32-Llast-weka.filters.unsupervised.attribute.Remove-R32,33-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-precision6'

@attribute Age {'\'(-inf-14.8]\'','\'(14.8-19.6]\'','\'(19.6-24.4]\'','\'(24.4-29.2]\'','\'(29.2-34]\'','\'(34-38.8]\'','\'(38.8-43.6]\'','\'(43.6-48.4]\'','\'(48.4-53.2]\'','\'(53.2-inf)\''}
@attribute 'Primary streaming service' {Spotify,Pandora,'YouTube Music','I do not use a streaming service.','Apple Music','Other streaming service'}
@attribute 'Hours per day' {'\'(-inf-1.4]\'','\'(1.4-2.8]\'','\'(2.8-4.2]\'','\'(4.2-5.6]\'','\'(5.6-7]\'','\'(7-8.4]\'','\'(8.4-inf)\''}
@attribute 'While working' {Yes,No}
@attribute Instrumentalist {Yes,No}
@attribute Composer {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute 'Foreign languages' {Yes,No}
@attribute BPM {'\'(-inf-22]\'','\'(22-44]\'','\'(44-66]\'','\'(66-88]\'','\'(88-110]\'','\'(110-132]\'','\'(132-154]\'','\'(154-inf)\''}
@attribute 'Frequency [Classical]' {Rarely,Sometimes,Never,'Very frequently'}
@attribute 'Frequency [Country]' {Never,Sometimes,'Very frequently',Rarely}
@attribute 'Frequency [EDM]' {Rarely,Never,'Very frequently',Sometimes}
@attribute 'Frequency [Folk]' {Never,Rarely,Sometimes,'Very frequently'}
@attribute 'Frequency [Gospel]' {Never,Sometimes,Rarely,'Very frequently'}
@attribute 'Frequency [Hip hop]' {Sometimes,Rarely,Never,'Very frequently'}
@attribute 'Frequency [Jazz]' {Never,'Very frequently',Rarely,Sometimes}
@attribute 'Frequency [K pop]' {'Very frequently',Rarely,Sometimes,Never}
@attribute 'Frequency [Latin]' {'Very frequently',Sometimes,Never,Rarely}
@attribute 'Frequency [Lofi]' {Rarely,Sometimes,'Very frequently',Never}
@attribute 'Frequency [Metal]' {Never,Sometimes,Rarely,'Very frequently'}
@attribute 'Frequency [Pop]' {'Very frequently',Sometimes,Rarely,Never}
@attribute 'Frequency [R&B]' {Sometimes,Never,'Very frequently',Rarely}
@attribute 'Frequency [Rap]' {'Very frequently',Rarely,Never,Sometimes}
@attribute 'Frequency [Rock]' {Never,'Very frequently',Rarely,Sometimes}
@attribute 'Frequency [Video game music]' {Sometimes,Rarely,'Very frequently',Never}
@attribute Anxiety {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-inf)\''}
@attribute Depression {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-inf)\''}
@attribute Insomnia {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute OCD {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,Country,Yes,No,'\'(66-88]\'',Never,'Very frequently',Rarely,Sometimes,Never,Sometimes,Never,Never,Never,Rarely,Never,Rarely,Never,'Very frequently',Never,Never,'\'(1-2]\'','\'(-inf-1]\'','\'(1-2]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,Yes,No,Jazz,Yes,Yes,'\'(132-154]\'','Very frequently',Rarely,Never,Never,Never,Never,'Very frequently',Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,'\'(5-6]\'','\'(3-4]\'','\'(6-7]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',No,No,No,Pop,Yes,Yes,'\'(110-132]\'',Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,'Very frequently',Rarely,Sometimes,Sometimes,Rarely,'\'(6-inf)\'','\'(4-5]\'','\'(3-4]\'','\'(-inf-1]\'',Worsen
'\'(14.8-19.6]\'',Spotify,'\'(7-8.4]\'',Yes,No,No,'Hip hop',Yes,Yes,'\'(88-110]\'',Never,Never,Never,Never,Never,'Very frequently',Never,Never,Never,Never,Never,Never,Sometimes,'Very frequently',Never,Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(3-4]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(8.4-inf)\'',Yes,No,Yes,'Hip hop',Yes,Yes,'\'(110-132]\'',Rarely,Never,Sometimes,Rarely,Never,'Very frequently',Rarely,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,'Very frequently',Never,'\'(4-5]\'','\'(6-inf)\'','\'(9-inf)\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',No,No,No,'Hip hop',No,No,'\'(110-132]\'',Never,Never,Never,Never,Never,'Very frequently',Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,'Very frequently',Rarely,Never,'\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'','\'(1-2]\'',Improve
'\'(14.8-19.6]\'','Apple Music','\'(7-8.4]\'',Yes,No,No,'Hip hop',Yes,Yes,'\'(110-132]\'',Rarely,Never,Sometimes,Rarely,Never,'Very frequently',Sometimes,'Very frequently',Sometimes,Rarely,Rarely,'Very frequently',Rarely,'Very frequently',Sometimes,Sometimes,'\'(5-6]\'','\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Rap,Yes,No,'\'(110-132]\'',Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Sometimes,Never,'Very frequently',Sometimes,Never,'\'(6-inf)\'','\'(6-inf)\'','\'(1-2]\'','\'(3-4]\'',Improve
'\'(14.8-19.6]\'','I do not use a streaming service.','\'(4.2-5.6]\'',Yes,No,No,R&B,Yes,Yes,'\'(110-132]\'',Rarely,Rarely,Sometimes,'Very frequently',Rarely,'Very frequently',Sometimes,Never,Never,Rarely,Rarely,Rarely,'Very frequently','Very frequently',Sometimes,Rarely,'\'(5-6]\'','\'(6-inf)\'','\'(4-5]\'','\'(3-4]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,Pop,No,Yes,'\'(66-88]\'',Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Never,'Very frequently',Never,Never,Never,Rarely,'\'(2-3]\'','\'(2-3]\'','\'(7-8]\'','\'(5-6]\'','No effect'
'\'(14.8-19.6]\'','Other streaming service','\'(2.8-4.2]\'',Yes,Yes,Yes,Rock,Yes,Yes,'\'(66-88]\'',Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Rarely,'Very frequently',Sometimes,'\'(6-inf)\'','\'(5-6]\'','\'(7-8]\'','\'(9-inf)\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',No,No,No,Pop,Yes,Yes,'\'(154-inf)\'',Sometimes,Rarely,Rarely,'Very frequently',Rarely,Rarely,Rarely,'Very frequently',Never,Sometimes,Never,'Very frequently',Sometimes,Sometimes,Sometimes,Never,'\'(6-inf)\'','\'(3-4]\'','\'(1-2]\'','\'(4-5]\'',Improve
'\'(-inf-14.8]\'',Spotify,'\'(8.4-inf)\'',Yes,Yes,Yes,Rock,Yes,Yes,'\'(132-154]\'',Sometimes,Sometimes,Rarely,Rarely,Rarely,'Very frequently',Sometimes,Never,Never,'Very frequently',Never,'Very frequently','Very frequently','Very frequently','Very frequently',Sometimes,'\'(6-inf)\'','\'(5-6]\'','\'(9-inf)\'','\'(4-5]\'',Improve
'\'(14.8-19.6]\'','YouTube Music','\'(5.6-7]\'',Yes,Yes,Yes,Pop,No,Yes,'\'(88-110]\'',Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,'Very frequently',Sometimes,Sometimes,Never,Never,'\'(2-3]\'','\'(1-2]\'','\'(-inf-1]\'','\'(1-2]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,Yes,No,Pop,Yes,Yes,'\'(110-132]\'',Never,'Very frequently',Rarely,Rarely,Never,Never,Rarely,Sometimes,'Very frequently',Rarely,Rarely,'Very frequently',Rarely,Never,Sometimes,Sometimes,'\'(5-6]\'','\'(5-6]\'','\'(3-4]\'','\'(4-5]\'',Improve
'\'(14.8-19.6]\'','Apple Music','\'(-inf-1.4]\'',Yes,No,No,Pop,Yes,No,'\'(154-inf)\'',Rarely,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,'\'(6-inf)\'','\'(1-2]\'','\'(-inf-1]\'','\'(4-5]\'',Improve
'\'(19.6-24.4]\'','Apple Music','\'(4.2-5.6]\'',Yes,Yes,No,Rock,Yes,Yes,'\'(110-132]\'',Never,Rarely,Rarely,'Very frequently',Never,'Very frequently',Sometimes,Never,Sometimes,Sometimes,'Very frequently',Sometimes,Sometimes,Sometimes,'Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(1-2]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,Classical,No,No,'\'(110-132]\'','Very frequently',Never,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Never,'Very frequently',Never,Never,Never,'Very frequently','\'(3-4]\'','\'(3-4]\'','\'(3-4]\'','\'(2-3]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(5.6-7]\'',Yes,Yes,No,Metal,Yes,Yes,'\'(110-132]\'',Never,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Sometimes,'Very frequently',Sometimes,Never,Never,Sometimes,Sometimes,'\'(6-inf)\'','\'(6-inf)\'','\'(1-2]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',No,No,No,Rock,Yes,Yes,'\'(132-154]\'',Rarely,Rarely,Rarely,'Very frequently',Never,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,'Very frequently',Rarely,Sometimes,'Very frequently',Rarely,'\'(4-5]\'','\'(5-6]\'','\'(5-6]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(-inf-1.4]\'',Yes,No,No,Classical,No,No,'\'(66-88]\'','Very frequently',Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,'\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(4.2-5.6]\'',Yes,Yes,No,Pop,Yes,No,'\'(110-132]\'',Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,'Very frequently',Sometimes,Sometimes,Rarely,Never,'\'(2-3]\'','\'(1-2]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Pop,No,Yes,'\'(88-110]\'',Never,Never,Rarely,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Never,'Very frequently',Never,Rarely,Never,Never,'\'(5-6]\'','\'(6-inf)\'','\'(-inf-1]\'','\'(1-2]\'',Improve
'\'(14.8-19.6]\'','Other streaming service','\'(2.8-4.2]\'',Yes,No,No,Pop,Yes,No,'\'(110-132]\'',Never,Never,Sometimes,Never,Never,'Very frequently',Rarely,Sometimes,Never,Never,Rarely,'Very frequently',Sometimes,'Very frequently','Very frequently',Never,'\'(1-2]\'','\'(-inf-1]\'','\'(3-4]\'','\'(-inf-1]\'','No effect'
'\'(24.4-29.2]\'','Other streaming service','\'(-inf-1.4]\'',No,No,No,Rock,No,Yes,'\'(132-154]\'',Rarely,Never,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,'Very frequently',Never,'\'(6-inf)\'','\'(6-inf)\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,EDM,Yes,No,'\'(154-inf)\'',Rarely,Rarely,'Very frequently',Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,'Very frequently','Very frequently',Sometimes,'Very frequently',Rarely,'\'(6-inf)\'','\'(1-2]\'','\'(7-8]\'','\'(5-6]\'',Improve
'\'(19.6-24.4]\'','YouTube Music','\'(1.4-2.8]\'',Yes,Yes,Yes,'Video game music',Yes,No,'\'(66-88]\'',Sometimes,Rarely,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,'Very frequently','\'(3-4]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(4.2-5.6]\'',Yes,Yes,No,Rock,Yes,No,'\'(110-132]\'','Very frequently',Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,'Very frequently',Sometimes,Rarely,Sometimes,'Very frequently',Sometimes,'\'(6-inf)\'','\'(5-6]\'','\'(4-5]\'','\'(-inf-1]\'',Improve
'\'(34-38.8]\'','YouTube Music','\'(-inf-1.4]\'',No,No,No,'Video game music',Yes,No,'\'(132-154]\'','Very frequently',Rarely,Never,Rarely,Never,Rarely,Sometimes,Never,Rarely,Never,Never,'Very frequently',Sometimes,Never,Sometimes,Sometimes,'\'(2-3]\'','\'(1-2]\'','\'(9-inf)\'','\'(-inf-1]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Classical,Yes,Yes,'\'(110-132]\'','Very frequently',Never,'Very frequently',Never,Never,'Very frequently',Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,'Very frequently','Very frequently',Rarely,Sometimes,'\'(5-6]\'','\'(5-6]\'','\'(7-8]\'','\'(1-2]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Metal,Yes,Yes,'\'(66-88]\'',Rarely,Never,Never,Never,Never,'Very frequently',Rarely,Never,Never,Never,'Very frequently',Sometimes,Sometimes,'Very frequently','Very frequently','Very frequently','\'(-inf-1]\'','\'(-inf-1]\'','\'(7-8]\'','\'(1-2]\'','No effect'
'\'(14.8-19.6]\'','I do not use a streaming service.','\'(-inf-1.4]\'',Yes,Yes,Yes,Folk,No,No,'\'(110-132]\'',Never,Sometimes,Rarely,'Very frequently',Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,'\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'','\'(4-5]\'',Improve
'\'(34-38.8]\'',Spotify,'\'(-inf-1.4]\'',No,Yes,Yes,Classical,No,No,'\'(110-132]\'','Very frequently',Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,'\'(6-inf)\'','\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'','No effect'
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Rock,Yes,Yes,'\'(110-132]\'',Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Never,'Very frequently',Rarely,Sometimes,Never,Never,'Very frequently',Sometimes,'\'(6-inf)\'','\'(5-6]\'','\'(3-4]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(4.2-5.6]\'',Yes,No,Yes,Metal,Yes,Yes,'\'(154-inf)\'',Never,Never,Rarely,Rarely,Never,'Very frequently',Rarely,Never,Rarely,Rarely,'Very frequently',Sometimes,Rarely,'Very frequently','Very frequently',Never,'\'(6-inf)\'','\'(6-inf)\'','\'(4-5]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Pop,No,Yes,'\'(88-110]\'',Sometimes,Rarely,Sometimes,Never,Never,'Very frequently',Sometimes,Rarely,Never,Sometimes,Rarely,'Very frequently',Sometimes,Sometimes,Sometimes,Sometimes,'\'(6-inf)\'','\'(3-4]\'','\'(1-2]\'','\'(3-4]\'','No effect'
'\'(14.8-19.6]\'','Apple Music','\'(1.4-2.8]\'',Yes,Yes,No,EDM,Yes,No,'\'(110-132]\'',Never,Rarely,'Very frequently',Never,Never,Rarely,Never,Never,Rarely,Rarely,'Very frequently',Sometimes,Sometimes,Sometimes,'Very frequently',Rarely,'\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(5.6-7]\'',Yes,No,No,'K pop',Yes,Yes,'\'(154-inf)\'',Rarely,Never,Never,Rarely,Sometimes,'Very frequently',Rarely,'Very frequently','Very frequently','Very frequently',Never,Sometimes,'Very frequently','Very frequently',Rarely,Never,'\'(6-inf)\'','\'(6-inf)\'','\'(6-7]\'','\'(4-5]\'',Improve
'\'(19.6-24.4]\'','Apple Music','\'(-inf-1.4]\'',No,No,No,Rap,No,Yes,'\'(132-154]\'',Sometimes,Rarely,Sometimes,Rarely,Never,'Very frequently','Very frequently',Never,Never,Never,Sometimes,Rarely,Rarely,'Very frequently','Very frequently',Rarely,'\'(6-inf)\'','\'(5-6]\'','\'(2-3]\'','\'(9-inf)\'','No effect'
'\'(19.6-24.4]\'',Spotify,'\'(8.4-inf)\'',Yes,No,No,Pop,Yes,Yes,'\'(88-110]\'','Very frequently',Rarely,Never,'Very frequently',Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,'Very frequently',Sometimes,Rarely,Rarely,Never,'\'(2-3]\'','\'(6-inf)\'','\'(4-5]\'','\'(4-5]\'','No effect'
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,Yes,Rock,Yes,Yes,'\'(110-132]\'',Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,'Very frequently',Sometimes,Rarely,'Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(3-4]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'','Apple Music','\'(1.4-2.8]\'',Yes,Yes,No,Classical,Yes,No,'\'(110-132]\'','Very frequently',Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,'\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(2-3]\'',Improve
